"","ï..date","Actual.Fed.Funds","taylor","InflationPCE","gdpgap","targetinf","naturalint","laggedfedfunds"
"1",1955-02-15,1.34,"#N/A","#N/A",1.84,2,2,"#N/A"
"2",1955-05-15,1.5,"#N/A","#N/A",2.87,2,2,"1.34"
"3",1955-08-15,1.94,"#N/A","#N/A",3.63,2,2,"1.50"
"4",1955-11-15,2.36,"#N/A","#N/A",3.62,2,2,"1.94"
"5",1956-02-15,2.48,"#N/A","#N/A",2.56,2,2,"2.36"
"6",1956-05-15,2.69,"#N/A","#N/A",2.76,2,2,"2.48"
"7",1956-08-15,2.81,"#N/A","#N/A",2,2,2,"2.69"
"8",1956-11-15,2.93,"#N/A","#N/A",2.96,2,2,"2.81"
"9",1957-02-15,2.93,"#N/A","#N/A",2.86,2,2,"2.93"
"10",1957-05-15,3,"#N/A","#N/A",1.82,2,2,"2.93"
"11",1957-08-15,3.23,"#N/A","#N/A",1.96,2,2,"3.00"
"12",1957-11-15,3.25,"#N/A","#N/A",0.02,2,2,"3.23"
"13",1958-02-15,1.86,"#N/A","#N/A",-3.46,2,2,"3.25"
"14",1958-05-15,0.94,"#N/A","#N/A",-3.72,2,2,"1.86"
"15",1958-08-15,1.32,"#N/A","#N/A",-2.41,2,2,"0.94"
"16",1958-11-15,2.16,"#N/A","#N/A",-1.06,2,2,"1.32"
"17",1959-02-15,2.57,"#N/A","#N/A",-0.08,2,2,"2.16"
"18",1959-05-15,3.08,"#N/A","#N/A",1.23,2,2,"2.57"
"19",1959-08-15,3.58,"#N/A","#N/A",0.36,2,2,"3.08"
"20",1959-11-15,3.99,"#N/A","#N/A",-0.3,2,2,"3.58"
"21",1960-02-15,3.93,"4.64","2.11",0.96,2,2,"3.99"
"22",1960-05-15,3.7,"3.64","1.95",-0.56,2,2,"3.93"
"23",1960-08-15,2.94,"2.98","1.67",-1.05,2,2,"3.70"
"24",1960-11-15,2.3,"1.49","1.42",-3.29,2,2,"2.94"
"25",1961-02-15,2,"1.12","1.28",-3.59,2,2,"2.30"
"26",1961-05-15,1.73,"1.38","1.22",-2.91,2,2,"2.00"
"27",1961-08-15,1.68,"1.90","1.27",-2.02,2,2,"1.73"
"28",1961-11-15,2.4,"2.23","1.18",-1.08,2,2,"1.68"
"29",1962-02-15,2.46,"2.91","1.38",-0.32,2,2,"2.40"
"30",1962-05-15,2.61,"2.94","1.44",-0.44,2,2,"2.46"
"31",1962-08-15,2.85,"2.86","1.33",-0.26,2,2,"2.61"
"32",1962-11-15,2.92,"2.42","1.28",-0.98,2,2,"2.85"
"33",1963-02-15,2.97,"2.38","1.24",-0.97,2,2,"2.92"
"34",1963-05-15,2.96,"2.39","1.23",-0.92,2,2,"2.97"
"35",1963-08-15,3.33,"3.01","1.28",0.17,2,2,"2.96"
"36",1963-11-15,3.45,"3.26","1.59",-0.25,2,2,"3.33"
"37",1964-02-15,3.46,"3.91","1.68",0.78,2,2,"3.45"
"38",1964-05-15,3.49,"3.80","1.60",0.81,2,2,"3.46"
"39",1964-08-15,3.46,"3.89","1.49",1.3,2,2,"3.49"
"40",1964-11-15,3.58,"3.16","1.26",0.54,2,2,"3.46"
"41",1965-02-15,3.97,"3.76","1.21",1.88,2,2,"3.58"
"42",1965-05-15,4.08,"3.87","1.23",2.07,2,2,"3.97"
"43",1965-08-15,4.07,"4.50","1.26",3.21,2,2,"4.08"
"44",1965-11-15,4.17,"5.23","1.34",4.44,2,2,"4.07"
"45",1966-02-15,4.56,"6.10","1.46",5.81,2,2,"4.17"
"46",1966-05-15,4.91,"6.44","1.97",4.97,2,2,"4.56"
"47",1966-08-15,5.41,"7.06","2.49",4.66,2,2,"4.91"
"48",1966-11-15,5.56,"7.70","3.03",4.31,2,2,"5.41"
"49",1967-02-15,4.82,"7.64","3.09",4.01,2,2,"5.56"
"50",1967-05-15,3.99,"6.85","2.94",2.87,2,2,"4.82"
"51",1967-08-15,3.89,"6.87","3.03",2.65,2,2,"3.99"
"52",1967-11-15,4.17,"6.88","3.18",2.24,2,2,"3.89"
"53",1968-02-15,4.79,"8.24","3.78",3.15,2,2,"4.17"
"54",1968-05-15,5.98,"9.27","4.29",3.67,2,2,"4.79"
"55",1968-08-15,5.94,"9.40","4.50",3.29,2,2,"5.98"
"56",1968-11-15,5.92,"9.27","4.67",2.54,2,2,"5.94"
"57",1969-02-15,6.57,"9.43","4.61",3.01,2,2,"5.92"
"58",1969-05-15,8.33,"9.11","4.65",2.26,2,2,"6.57"
"59",1969-08-15,8.98,"8.99","4.69",1.92,2,2,"8.33"
"60",1969-11-15,8.94,"8.28","4.69",0.48,2,2,"8.98"
"61",1970-02-15,8.57,"7.78","4.70",-0.53,2,2,"8.94"
"62",1970-05-15,7.88,"7.35","4.63",-1.18,2,2,"8.57"
"63",1970-08-15,6.7,"7.36","4.59",-1.03,2,2,"7.88"
"64",1970-11-15,5.57,"6.84","4.83",-2.81,2,2,"6.70"
"65",1971-02-15,3.86,"8.06","5.00",-0.9,2,2,"5.57"
"66",1971-05-15,4.56,"7.99","5.02",-1.07,2,2,"3.86"
"67",1971-08-15,5.47,"7.77","4.84",-0.97,2,2,"4.56"
"68",1971-11-15,4.75,"6.24","3.97",-1.44,2,2,"5.47"
"69",1972-02-15,3.54,"6.32","3.66",-0.35,2,2,"4.75"
"70",1972-05-15,4.3,"6.37","3.18",1.18,2,2,"3.54"
"71",1972-08-15,4.74,"6.18","2.99",1.4,2,2,"4.30"
"72",1972-11-15,5.14,"6.74","3.05",2.33,2,2,"4.74"
"73",1973-02-15,6.54,"7.20","2.78",4.05,2,2,"5.14"
"74",1973-05-15,7.82,"8.40","3.48",4.34,2,2,"6.54"
"75",1973-08-15,10.56,"8.58","4.07",2.93,2,2,"7.82"
"76",1973-11-15,10,"9.81","4.86",3.02,2,2,"10.56"
"77",1974-02-15,9.32,"10.51","5.93",1.24,2,2,"10.00"
"78",1974-05-15,11.25,"11.92","7.10",0.55,2,2,"9.32"
"79",1974-08-15,12.09,"13.43","8.72",-1.3,2,2,"11.25"
"80",1974-11-15,9.35,"14.48","9.84",-2.57,2,2,"12.09"
"81",1975-02-15,6.3,"13.85","10.10",-4.6,2,2,"9.35"
"82",1975-05-15,5.42,"12.24","9.07",-4.72,2,2,"6.30"
"83",1975-08-15,6.16,"10.50","7.63",-3.88,2,2,"5.42"
"84",1975-11-15,5.41,"9.48","6.77",-3.36,2,2,"6.16"
"85",1976-02-15,4.83,"9.50","6.32",-1.95,2,2,"5.41"
"86",1976-05-15,5.2,"8.98","5.98",-1.99,2,2,"4.83"
"87",1976-08-15,5.28,"8.97","6.04",-2.2,2,2,"5.20"
"88",1976-11-15,4.87,"8.84","5.98",-2.25,2,2,"5.28"
"89",1977-02-15,4.66,"9.29","6.15",-1.88,2,2,"4.87"
"90",1977-05-15,5.16,"10.35","6.49",-0.78,2,2,"4.66"
"91",1977-08-15,5.82,"10.99","6.60",0.18,2,2,"5.16"
"92",1977-11-15,6.51,"10.40","6.48",-0.65,2,2,"5.82"
"93",1978-02-15,6.76,"9.94","6.35",-1.17,2,2,"6.51"
"94",1978-05-15,7.28,"11.70","6.56",1.73,2,2,"6.76"
"95",1978-08-15,8.1,"11.84","6.61",1.84,2,2,"7.28"
"96",1978-11-15,9.58,"12.61","6.97",2.31,2,2,"8.10"
"97",1979-02-15,10.07,"11.96","6.77",1.62,2,2,"9.58"
"98",1979-05-15,10.18,"12.35","7.26",0.91,2,2,"10.07"
"99",1979-08-15,10.95,"12.54","7.40",0.89,2,2,"10.18"
"100",1979-11-15,13.58,"12.77","7.71",0.42,2,2,"10.95"
"101",1980-02-15,15.05,"14.33","8.86",0.1,2,2,"13.58"
"102",1980-05-15,12.69,"13.11","8.90",-2.47,2,2,"15.05"
"103",1980-08-15,9.84,"13.42","9.30",-3.07,2,2,"12.69"
"104",1980-11-15,15.85,"14.64","9.68",-1.76,2,2,"9.84"
"105",1981-02-15,16.57,"14.97","9.43",-0.36,2,2,"15.85"
"106",1981-05-15,17.78,"13.75","9.06",-1.7,2,2,"16.57"
"107",1981-08-15,17.58,"13.39","8.65",-1.17,2,2,"17.78"
"108",1981-11-15,13.59,"11.47","7.96",-2.92,2,2,"17.58"
"109",1982-02-15,14.23,"9.14","7.16",-5.19,2,2,"13.59"
"110",1982-05-15,14.51,"8.12","6.59",-5.53,2,2,"14.23"
"111",1982-08-15,11.01,"7.17","6.34",-6.68,2,2,"14.51"
"112",1982-11-15,9.29,"6.20","5.94",-7.43,2,2,"11.01"
"113",1983-02-15,8.65,"6.20","5.78",-6.95,2,2,"9.29"
"114",1983-05-15,8.8,"5.96","5.17",-5.59,2,2,"8.65"
"115",1983-08-15,9.46,"6.39","5.08",-4.46,2,2,"8.80"
"116",1983-11-15,9.43,"6.07","4.47",-3.26,2,2,"9.46"
"117",1984-02-15,9.69,"6.14","4.16",-2.19,2,2,"9.43"
"118",1984-05-15,10.56,"7.18","4.57",-1.36,2,2,"9.69"
"119",1984-08-15,11.39,"6.32","3.98",-1.3,2,2,"10.56"
"120",1984-11-15,9.27,"6.14","3.89",-1.38,2,2,"11.39"
"121",1985-02-15,8.48,"6.70","4.25",-1.34,2,2,"9.27"
"122",1985-05-15,7.92,"6.21","3.94",-1.4,2,2,"8.48"
"123",1985-08-15,7.9,"6.63","4.03",-0.82,2,2,"7.92"
"124",1985-11-15,8.1,"6.55","4.03",-1.01,2,2,"7.90"
"125",1986-02-15,7.83,"6.12","3.74",-0.99,2,2,"8.10"
"126",1986-05-15,6.92,"5.62","3.56",-1.43,2,2,"7.83"
"127",1986-08-15,6.21,"5.13","3.21",-1.37,2,2,"6.92"
"128",1986-11-15,6.27,"5.11","3.31",-1.7,2,2,"6.21"
"129",1987-02-15,6.22,"4.35","2.84",-1.82,2,2,"6.27"
"130",1987-05-15,6.65,"4.90","3.13",-1.6,2,2,"6.22"
"131",1987-08-15,6.84,"5.23","3.34",-1.58,2,2,"6.65"
"132",1987-11-15,6.92,"5.97","3.55",-0.72,2,2,"6.84"
"133",1988-02-15,6.66,"6.34","3.90",-1.03,2,2,"6.92"
"134",1988-05-15,7.16,"6.96","4.15",-0.54,2,2,"6.66"
"135",1988-08-15,7.98,"7.25","4.42",-0.76,2,2,"7.16"
"136",1988-11-15,8.47,"7.66","4.52",-0.24,2,2,"7.98"
"137",1989-02-15,9.44,"7.97","4.65",-0.01,2,2,"8.47"
"138",1989-05-15,9.73,"7.49","4.34",-0.04,2,2,"9.44"
"139",1989-08-15,9.08,"6.84","3.92",-0.07,2,2,"9.73"
"140",1989-11-15,8.61,"6.25","3.71",-0.63,2,2,"9.08"
"141",1990-02-15,8.25,"6.52","3.77",-0.29,2,2,"8.61"
"142",1990-05-15,8.24,"6.66","3.99",-0.64,2,2,"8.25"
"143",1990-08-15,8.16,"6.76","4.26",-1.26,2,2,"8.24"
"144",1990-11-15,7.74,"5.87","4.18",-2.82,2,2,"8.16"
"145",1991-02-15,6.43,"4.92","3.91",-3.9,2,2,"7.74"
"146",1991-05-15,5.86,"4.46","3.55",-3.75,2,2,"6.43"
"147",1991-08-15,5.64,"4.24","3.44",-3.85,2,2,"5.86"
"148",1991-11-15,4.82,"4.04","3.39",-4.09,2,2,"5.64"
"149",1992-02-15,4.02,"4.13","3.26",-3.52,2,2,"4.82"
"150",1992-05-15,3.77,"4.27","3.20",-3.04,2,2,"4.02"
"151",1992-08-15,3.26,"3.99","2.88",-2.66,2,2,"3.77"
"152",1992-11-15,3.04,"4.12","2.82",-2.23,2,2,"3.26"
"153",1993-02-15,3.04,"3.80","2.75",-2.65,2,2,"3.04"
"154",1993-05-15,3,"3.87","2.80",-2.68,2,2,"3.04"
"155",1993-08-15,3.06,"3.75","2.77",-2.81,2,2,"3.00"
"156",1993-11-15,2.99,"3.77","2.55",-2.1,2,2,"3.06"
"157",1994-02-15,3.21,"3.58","2.31",-1.76,2,2,"2.99"
"158",1994-05-15,3.94,"3.80","2.22",-1.05,2,2,"3.21"
"159",1994-08-15,4.49,"3.78","2.22",-1.1,2,2,"3.94"
"160",1994-11-15,5.17,"4.02","2.21",-0.59,2,2,"4.49"
"161",1995-02-15,5.81,"3.99","2.28",-0.87,2,2,"5.17"
"162",1995-05-15,6.02,"3.71","2.20",-1.19,2,2,"5.81"
"163",1995-08-15,5.8,"3.69","2.12",-0.98,2,2,"6.02"
"164",1995-11-15,5.72,"3.69","2.11",-0.95,2,2,"5.80"
"165",1996-02-15,5.36,"3.52","1.98",-0.89,2,2,"5.72"
"166",1996-05-15,5.24,"3.81","1.86",0.04,2,2,"5.36"
"167",1996-08-15,5.31,"3.85","1.84",0.18,2,2,"5.24"
"168",1996-11-15,5.28,"4.07","1.91",0.42,2,2,"5.31"
"169",1997-02-15,5.28,"3.97","1.91",0.21,2,2,"5.28"
"170",1997-05-15,5.52,"4.41","1.95",0.96,2,2,"5.28"
"171",1997-08-15,5.53,"4.22","1.73",1.27,2,2,"5.52"
"172",1997-11-15,5.51,"3.78","1.47",1.15,2,2,"5.53"
"173",1998-02-15,5.52,"3.63","1.37",1.14,2,2,"5.51"
"174",1998-05-15,5.5,"3.26","1.16",1.05,2,2,"5.52"
"175",1998-08-15,5.53,"3.55","1.28",1.26,2,2,"5.50"
"176",1998-11-15,4.86,"3.83","1.28",1.82,2,2,"5.53"
"177",1999-02-15,4.73,"3.83","1.31",1.72,2,2,"4.86"
"178",1999-05-15,4.75,"3.70","1.33",1.42,2,2,"4.73"
"179",1999-08-15,5.09,"3.81","1.32",1.66,2,2,"4.75"
"180",1999-11-15,5.31,"4.33","1.45",2.3,2,2,"5.09"
"181",2000-02-15,5.68,"4.32","1.68",1.6,2,2,"5.31"
"182",2000-05-15,6.27,"4.71","1.67",2.4,2,2,"5.68"
"183",2000-08-15,6.52,"4.42","1.78",1.5,2,2,"6.27"
"184",2000-11-15,6.47,"4.29","1.81",1.14,2,2,"6.52"
"185",2001-02-15,5.59,"3.72","1.84",-0.08,2,2,"6.47"
"186",2001-05-15,4.33,"3.67","1.90",-0.36,2,2,"5.59"
"187",2001-08-15,3.5,"2.77","1.72",-1.6,2,2,"4.33"
"188",2001-11-15,2.13,"2.56","1.74",-2.11,2,2,"3.50"
"189",2002-02-15,1.73,"2.19","1.45",-1.98,2,2,"2.13"
"190",2002-05-15,1.75,"2.43","1.65",-2.09,2,2,"1.73"
"191",2002-08-15,1.74,"2.66","1.88",-2.32,2,2,"1.75"
"192",2002-11-15,1.44,"2.18","1.73",-2.82,2,2,"1.74"
"193",2003-02-15,1.25,"2.04","1.67",-2.93,2,2,"1.44"
"194",2003-05-15,1.25,"1.72","1.39",-2.73,2,2,"1.25"
"195",2003-08-15,1.02,"2.09","1.30",-1.72,2,2,"1.25"
"196",2003-11-15,1,"2.43","1.36",-1.24,2,2,"1.02"
"197",2004-02-15,1,"2.94","1.74",-1.36,2,2,"1.00"
"198",2004-05-15,1.01,"3.42","2.04",-1.28,2,2,"1.00"
"199",2004-08-15,1.43,"3.49","2.00",-1.02,2,2,"1.01"
"200",2004-11-15,1.95,"3.85","2.13",-0.69,2,2,"1.43"
"201",2005-02-15,2.47,"4.19","2.22",-0.26,2,2,"1.95"
"202",2005-05-15,2.94,"3.91","2.09",-0.43,2,2,"2.47"
"203",2005-08-15,3.46,"4.05","2.09",-0.16,2,2,"2.94"
"204",2005-11-15,3.98,"4.24","2.20",-0.13,2,2,"3.46"
"205",2006-02-15,4.46,"4.42","2.06",0.65,2,2,"3.98"
"206",2006-05-15,4.91,"4.66","2.32",0.37,2,2,"4.46"
"207",2006-08-15,5.25,"4.75","2.49",0.02,2,2,"4.91"
"208",2006-11-15,5.25,"4.59","2.26",0.39,2,2,"5.25"
"209",2007-02-15,5.26,"4.71","2.43",0.14,2,2,"5.25"
"210",2007-05-15,5.25,"4.24","2.08",0.24,2,2,"5.26"
"211",2007-08-15,5.07,"4.20","2.03",0.3,2,2,"5.25"
"212",2007-11-15,4.5,"4.60","2.25",0.45,2,2,"5.07"
"213",2008-02-15,3.18,"3.83","2.08",-0.59,2,2,"4.50"
"214",2008-05-15,2.09,"4.02","2.19",-0.53,2,2,"3.18"
"215",2008-08-15,1.94,"3.51","2.17",-1.5,2,2,"2.09"
"216",2008-11-15,0.51,"1.32","1.56",-4.03,2,2,"1.94"
"217",2009-02-15,0.18,"-0.09","1.09",-5.46,2,2,"0.51"
"218",2009-05-15,0.18,"-0.36","1.06",-5.9,2,2,"0.18"
"219",2009-08-15,0.16,"-0.50","0.95",-5.83,2,2,"0.18"
"220",2009-11-15,0.12,"0.77","1.53",-5.06,2,2,"0.16"
"221",2010-02-15,0.13,"1.13","1.73",-4.93,2,2,"0.12"
"222",2010-05-15,0.19,"1.10","1.50",-4.29,2,2,"0.13"
"223",2010-08-15,0.19,"1.00","1.28",-3.83,2,2,"0.19"
"224",2010-11-15,0.19,"0.59","0.92",-3.6,2,2,"0.19"
"225",2011-02-15,0.16,"0.60","1.11",-4.12,2,2,"0.19"
"226",2011-05-15,0.09,"1.34","1.47",-3.74,2,2,"0.16"
"227",2011-08-15,0.08,"1.70","1.83",-4.08,2,2,"0.09"
"228",2011-11-15,0.07,"2.23","1.92",-3.31,2,2,"0.08"
"229",2012-02-15,0.1,"2.72","2.11",-2.9,2,2,"0.07"
"230",2012-05-15,0.15,"2.48","1.94",-2.85,2,2,"0.10"
"231",2012-08-15,0.14,"2.06","1.74",-3.09,2,2,"0.15"
"232",2012-11-15,0.16,"2.03","1.81",-3.37,2,2,"0.14"
"233",2013-02-15,0.14,"1.86","1.54",-2.92,2,2,"0.16"
"234",2013-05-15,0.12,"1.56","1.44",-3.2,2,2,"0.14"
"235",2013-08-15,0.08,"1.89","1.54",-2.86,2,2,"0.12"
"236",2013-11-15,0.09,"2.12","1.58",-2.5,2,2,"0.08"
"237",2014-02-15,0.07,"1.70","1.52",-3.15,2,2,"0.09"
"238",2014-05-15,0.09,"2.38","1.71",-2.35,2,2,"0.07"
"239",2014-08-15,0.09,"2.78","1.72",-1.59,2,2,"0.09"
"240",2014-11-15,0.1,"2.51","1.52",-1.55,2,2,"0.09"
"241",2015-02-15,0.11,"2.45","1.36",-1.17,2,2,"0.10"
"242",2015-05-15,0.12,"2.55","1.30",-0.8,2,2,"0.11"
"243",2015-08-15,0.14,"2.40","1.26",-0.99,2,2,"0.12"
"244",2015-11-15,0.16,"2.21","1.24",-1.32,2,2,"0.14"
"245",2016-02-15,0.36,"2.57","1.50",-1.37,2,2,"0.16"
"246",2016-05-15,0.37,"2.76","1.58",-1.22,2,2,"0.36"
"247",2016-08-15,0.4,"3.02","1.73",-1.15,2,2,"0.37"
"248",2016-11-15,0.45,"3.18","1.83",-1.13,2,2,"0.40"
"249",2017-02-15,0.7,"3.16","1.81",-1.09,2,2,"0.45"
"250",2017-05-15,0.95,"3.05","1.62",-0.76,2,2,"0.70"
"251",2017-08-15,1.15,"2.95","1.46",-0.49,2,2,"0.95"
"252",2017-11-15,1.2,"3.24","1.61",-0.35,2,2,"1.15"
"253",2018-02-15,1.45,"3.49","1.75",-0.26,2,2,"1.20"
"254",2018-05-15,1.74,"4.04","1.94",0.26,2,2,"1.45"
"255",2018-08-15,1.92,"4.27","1.98",0.58,2,2,"1.74"
"256",2018-11-15,2.22,"4.20","1.90",0.7,2,2,"1.92"
"257",2019-02-15,2.4,"3.99","1.91",0.24,2,2,"2.22"
